n04403638	望远镜
n11722982	乌头
n03987376	人像镜头
n03939677	驾驶室
n04310157	压路机
n04569063	网络摄像机
n01913166	葡萄牙战士
n12413880	德国鸢尾
n04525584	百叶窗帘
n09305898	温泉
n01488038	鲸鲨
n01976957	蟹
n04141712	脚手架
n04555897	手表
n07709333	绿色
n10355449	新来者
n04273972	速滑
n04395651	纹身
n03395514	落地窗
n01554448	樵夫
n03405725	家具
n10607291	水上潜水器
n07613266	提拉米苏
n12303083	连翘
n03506880	灵车
n02861022	雪橇
n04208936	淋浴
n03710193	邮箱
n04498389	头巾
n03316406	工厂
n02022684	滨鸟
n03220692	圆顶
n04552696	军舰
n02037110	牡蛎捕集器
n02803666	大鼓
n12642200	甜樱桃
n12205694	草本植物
n02855925	蓝色
n04335209	街道
n05538625	头
n12732009	白杨
n04112147	转子
n02028342	大黄蜂
n02493793	蜘蛛猴
n12527738	珊瑚树
n02394477	偶蹄有蹄类
n03074380	柱
n11669786	小花
n01987545	对虾
n02374149	马
n04146862	校船
n07744246	醋栗
n02824319	钟楼
n03485198	手镜
n11960245	大丽花
n07772147	腰果
n03073694	骨灰龛场
n04136161	莎莉
n02028727	胸花风笛手
n02898711	跨径桥
n04306080	站
n01501160	滑冰
n04421872	温度计
n03720163	地图
n03057920	衣架
n01621127	猫头鹰
n02408429	水牛
n02726305	公寓公寓
n01794158	土耳其
n03388043	喷泉
n12822769	康菲
n04531873	背心背心
n02999936	链
n04207343	肩包
n04290079	纺纱
n07596967	糕点糖果
n02127482	山猫
n03271574	电风扇
n02904927	布罗根
n02951585	开罐器
n02042472	象牙海鸥
n03871724	包装箱
n03698604	豪华班轮
n03368352	花坛
n01885498	麻木
n02386853	马车
n03492542	硬盘
n02929289	支墩
n04509417	单循环
n02859184	巴拿马里窝那船夫
n12620196	玫瑰
n03082979	计算机
n03837869	方尖碑
n04080705	温泉度假酒店
n02848523	叶片
n11989869	牛眼雏菊
n02077658	毛皮海豹
n10304914	奖牌得主
n03379828	人行天桥
n10577284	卖方
n02084861	cur
n03967396	绘图仪
n04224543	姊妹舰
n10599806	歌手
n02939185	大锅
n02971167	汽车轮胎
n03836976	尼龙袜
n04057047	剃刀
n02737660	臂
n07695965	三明治
n14858292	垃圾
n02860640	波比针
n01582856	澳大利亚喜鹊
n10635788	狮身人面像
n02106662	德国牧羊犬
n05302499	口腔
n02812949	刺刀
n07852833	卡门伯特
n04162706	安全带
n02101861	斯普林格猎犬
n10153594	体操运动员
n07832902	调味品
n03366823	地板罩
n03227317	双面针织物
n04390977	龙头
n07607605	棒棒糖
n03419014	服装
n07866015	炸肉饼
n02299157	烟草角虫
n02715712	高射炮
n04026180	皱褶
n03700963	机器
n04492375	桁架
n04289690	链轮
n02010453	夜鹭
n10435988	投手
n07686720	酸面包
n04251701	雪堤
n07817315	香菜
n03706229	磁罗盘
n07921239	土耳其咖啡
n04398044	茶壶
n12882779	洋地黄
n10120671	园丁
n07832416	香蒜酱
n07751004	桃
n03787523	榫接
n02981911	弹射器
n07683490	查帕蒂
n02865665	螺栓
n10317007	军官
n02403454	牛
n02439033	长颈鹿
n02008497	大蓝鹭
n04140064	锯
n03071160	柱廊
n07763792	枇杷
n04582205	柳条
n10308168	董事会成员
n02709101	消像散镜
n02453108	厚皮动物
n02865931	螺栓
n02487547	恒河猴
n12844939	卷心菜
n07868955	格菲特鱼
n04131208	美容院
n04235291	雪橇
n07817160	紫草
n03659292	杠杆
n08494231	游乐园
n02051059	拼凑账单的格雷布
n01594968	克里夫·斯沃夫（Hirundo Pyrhonota）
n07600696	蜜饯苹果
n03124043	牛仔靴
n02932400	小屋
n04050066	耙
n04507155	雨伞
n02088238	巴塞特猎犬
n12877838	地中海金鱼鱼
n04495843	拖船
n02834778	自行车
n04284341	勺子
n07804771	野生稻
n03313333	正面
n03159535	奶牛场
n02908217	刷
n09438844	雪盖
n03350204	鱼缸
n01754876	响尾蛇
n01323355	陛下
n07579787	盘子
n01859496	天鹅苔原天鹅
n10078131	狂热者
n12633638	苹果树
n04117464	舵
n06359193	网站
n04568069	风向标
n12991184	驯鹿苔藓
n07678729	填料
n07753113	无花果
n02880546	弓弦乐器
n03335030	战斗机
n04040373	径向发动机
n03347617	消防塔
n04095109	里茨
n11939699	普通雏菊
n03483316	手风机
n04222470	单排扣西服
n03791053	摩托车
n02190166	飞
n07876550	斯坎皮
n10283170	专业
n04125257	保险箱
n02122298	基蒂
n03408054	机身
n10081204	父亲
n01542786	织布者
n02025043	旋转石
n10542888	跑步者
n07582152	虾鸡尾酒
n07892813	白葡萄酒
n02807616	浴袍
n02283201	飞蛾
n12267677	橡子
n04547592	墙
n02968473	运输
n10007684	指定击球手
n03862676	烤箱
n13206817	梅登豪尔
n03495258	竖琴
n02876657	瓶子
n10754189	葡萄酒商
n03938037	枕头
n03891251	公园长椅
n03618982	柯克
n04065464	娱乐室
n03499907	夏威夷吉他
n04330340	炉子
n03870672	包装
n01823013	布谷鸟
n02951358	独木舟
n09734639	图阿雷格
n02868638	防空洞
n07587111	浓汤
n04177931	安置所
n03971218	胶合板
n12521394	普通扫帚
n03535780	水平条
n03447721	潭潭宫
n03318294	仙灯
n10498816	四分卫
n12810595	福禄考
n01859689	吹口哨的天鹅
n02949202	藤条
n04283378	轮辐
n02042046	鲱鱼海鸥
n07695742	椒盐脆饼
n04438304	计时器
n01994910	水蚤
n09847543	贝尔达
n03178430	井架
n04370774	运动套装
n04326896	凳子
n07714448	小白菜
n02992529	移动电话
