n04403638	telescope
n11722982	aconite
n03987376	portrait lens
n03939677	pilothouse
n04310157	steamroller
n04569063	webcam
n01913166	Portuguese man-of-war
n12413880	German iris
n04525584	Venetian blind
n09305898	hot spring
n01488038	whale shark
n01976957	crab
n04141712	scaffolding
n04555897	watch
n07709333	greens
n10355449	newcomer
n04273972	speed skate
n04395651	tattoo
n03395514	French window
n01554448	woodhewer
n03405725	furniture
n10607291	skin-diver
n07613266	tiramisu
n12303083	forsythia
n03506880	hearse
n02861022	bobsled
n04208936	shower
n03710193	mailbox
n04498389	turban
n03316406	factory
n02022684	shorebird
n03220692	dome
n04552696	warship
n02037110	oystercatcher
n02803666	bass drum
n12642200	sweet cherry
n12205694	herb
n02855925	blue
n04335209	street
n05538625	head
n12732009	white poplar
n04112147	rotor
n02028342	greater yellowlegs
n02493793	spider monkey
n12527738	coral tree
n02394477	even-toed ungulate
n03074380	column
n11669786	floret
n01987545	prawn
n02374149	equine
n04146862	school ship
n07744246	currant
n02824319	belfry
n03485198	hand glass
n11960245	dahlia
n07772147	cashew
n03073694	columbarium
n04136161	sari
n02028727	pectoral sandpiper
n02898711	bridge
n04306080	station
n01501160	skate
n04421872	thermometer
n03720163	map
n03057920	coat hanger
n01621127	owl
n02408429	water buffalo
n02726305	apartment
n01794158	turkey
n03388043	fountain
n12822769	comfrey
n04531873	vest
n02999936	chain
n04207343	shoulder bag
n04290079	spun yarn
n07596967	confectionery
n02127482	bobcat
n03271574	electric fan
n02904927	brogan
n02951585	can opener
n02042472	ivory gull
n03871724	packing box
n03698604	luxury liner
n03368352	flowerbed
n01885498	numbat
n02386853	carthorse
n03492542	hard disc
n02929289	buttress
n04509417	unicycle
n02859184	boater
n12620196	rose
n03082979	computer
n03837869	obelisk
n04080705	resort hotel
n02848523	blade
n11989869	oxeye daisy
n02077658	fur seal
n10304914	medalist
n03379828	footbridge
n10577284	seller
n02084861	cur
n03967396	plotter
n04224543	sister ship
n10599806	singer
n02939185	caldron
n02971167	car tire
n03836976	nylons
n04057047	razor
n02737660	arm
n07695965	sandwich
n14858292	litter
n02860640	bobby pin
n01582856	Australian magpie
n10635788	sphinx
n02106662	German shepherd
n05302499	mouth
n02812949	bayonet
n07852833	Camembert
n04162706	seat belt
n02101861	springer spaniel
n10153594	gymnast
n07832902	dressing
n03366823	floor cover
n03227317	double knit
n04390977	tap
n07607605	lollipop
n03419014	garment
n07866015	croquette
n02299157	tobacco hornworm
n02715712	antiaircraft
n04026180	purl
n03700963	machine
n04492375	truss
n04289690	sprocket
n02010453	night heron
n10435988	pitcher
n07686720	sour bread
n04251701	snowbank
n07817315	coriander
n03706229	magnetic compass
n07921239	Turkish coffee
n04398044	teapot
n12882779	foxglove
n10120671	gardener
n07832416	pesto
n07751004	peach
n03787523	mortise joint
