n04403638	telescope, scope
n11722982	aconite
n03987376	portrait lens
n03939677	pilothouse, wheelhouse
n03389611	four-wheel drive, 4WD
n04118635	ruin
n04310157	steamroller, road roller
n02568087	striped bass, striper, Roccus saxatilis, rockfish
n12049282	grass pink, Calopogon pulchellum, Calopogon tuberosum
n01774384	black widow, Latrodectus mactans
n04569063	webcam
n03454442	grass skirt
n01913166	Portuguese man-of-war, man-of-war, jellyfish
n04543772	wagon wheel
n12413880	German iris, Iris germanica
n04525584	Venetian blind
n02565072	smallmouth, smallmouth bass, smallmouthed bass, smallmouth black bass, smallmouthed black bass, Micropterus dolomieu
n09305898	hot spring, thermal spring
n01488038	whale shark, Rhincodon typus
n01976957	crab
n09218641	ben
n04141712	scaffolding, staging
n04555897	watch, ticker
n07709333	greens, green, leafy vegetable
n10355449	newcomer, fledgling, fledgeling, starter, neophyte, freshman, newbie, entrant
n07574504	refreshment
n04273972	speed skate, racing skate
n04395651	tattoo
n02742322	array, raiment, regalia
n03395514	French window
n13223588	ground cedar, staghorn moss, Lycopodium complanatum
n07862348	barbecued spareribs, spareribs
n01554448	woodhewer, woodcreeper, wood-creeper, tree creeper
n03405725	furniture, piece of furniture, article of furniture
n04591713	wine bottle
n02386968	Clydesdale
n03180865	detached house, single dwelling
n07860103	sorghum, sorghum molasses
n10607291	skin-diver, aquanaut
n12275675	chinquapin oak, chinkapin oak, yellow chestnut oak, Quercus muehlenbergii
n02107908	Appenzeller
n02379183	quarter horse
n03623198	knee pad
n07613266	tiramisu
n12303083	forsythia
n03297495	espresso maker
n03506880	hearse
n04115996	royal mast
n02861022	bobsled, bobsleigh
n04208936	shower
n03710193	mailbox, letter box
n04498389	turban
n03316406	factory, mill, manufacturing plant, manufactory
n03540914	hospital bed
n02036711	avocet
n02022684	shorebird, shore bird, limicoline bird
n01862399	female mammal
n03220692	dome, domed stadium, covered stadium
n04552696	warship, war vessel, combat ship
n02037110	oystercatcher, oyster catcher
n02803666	bass drum, gran casa
n07931870	May wine
n02628062	skipjack, Atlantic bonito, Sarda sarda
n07565083	menu
n11941924	Swan River daisy, Brachycome Iberidifolia
n01322898	lion cub
n12642200	sweet cherry, Prunus avium
n12205694	herb, herbaceous plant
n11959632	artichoke, globe artichoke, artichoke plant, Cynara scolymus
n02211627	mason bee
n02855925	blue
n03955489	plane seat
n02243562	water strider, pond-skater, water skater
n03435991	gharry
n04335209	street
n05538625	head, caput
n12732009	white poplar, white aspen, abele, aspen poplar, silver-leaved poplar, Populus alba
n04112147	rotor
n02028342	greater yellowlegs, Tringa melanoleuca
n02493793	spider monkey, Ateles geoffroyi
n01500476	Atlantic manta, Manta birostris
n12527738	coral tree, erythrina
n11859472	spring beauty, Clatonia lanceolata
n02394477	even-toed ungulate, artiodactyl, artiodactyl mammal
