n04403638	望遠鏡
n11722982	トリカブト
n03987376	ポートレートレンズ
n03939677	操舵室
n04310157	ロードローラー
n04569063	ウェブカメラ
n01913166	鰹の烏帽子
n12413880	ジャーマンアイリス
n04525584	ベネチャンブラインド
n09305898	温泉
n01488038	ジンベエザメ
n01976957	蟹
n04141712	丸太足場
n04555897	携帯時計
n07709333	青物
n10355449	新顔
n04273972	スピードスケート
n04395651	入れ墨
n03395514	フランス窓
n01554448	キバシリ
n03405725	調度品
n10607291	アクアノート
n07613266	ティラミス
n12303083	レンギョウ
n03506880	霊柩車
n02861022	ボブスレー
n04208936	シャワー
n03710193	郵便箱
n04498389	ターバン
n03316406	製造所
n02022684	水鳥
n03220692	ドーム
n04552696	軍艦
n02037110	ミヤコドリ族
n02803666	バスドラム
n12642200	西洋実桜
n12205694	草本
n02855925	青い青
n04335209	車道
n05538625	首
n12732009	ギンドロ
n04112147	ローター
n02028342	オオキアシシギ
n02493793	クモザル
n12527738	梯梧
n02394477	ウシ目
n03074380	記念柱
n11669786	小花
n01987545	テナガエビ
n02374149	ウマ
n04146862	練習船
n07744246	酸塊
n02824319	鐘楼
n03485198	手鏡
n11960245	ダリア
n07772147	カシューナッツ
n03073694	納骨堂
n04136161	サリー
n02028727	アメリカウズラシギ
n02898711	橋梁
n04306080	ステーション
n01501160	ガンギエイ
n04421872	温度計
n03720163	輿図
n03057920	ドレスハンガー
n01621127	梟
n02408429	水牛
n02726305	マンション
n01794158	七面鳥
n03388043	噴水
n12822769	コンフリー
n04531873	ベスト
n02999936	鎖
n04207343	ショルダーバッグ
n04290079	紡績糸
n07596967	菓子
n02127482	ボブキャット
n03271574	送風機
n02904927	労働靴
n02951585	缶切り
n02042472	ゾウゲカモメ
n03871724	パッキングケース
n03698604	豪華船
n03368352	花壇
n01885498	袋蟻食
n02386853	荷馬
n03492542	HD
n02929289	控え壁
n04509417	一輪車
n02859184	麦藁帽子
n12620196	薔薇
n03082979	電脳
n03837869	方尖柱
n04080705	温泉
n02848523	羽根
n11989869	フランスギク
n02077658	オットセイ
n10304914	メダリスト
n03379828	歩道橋
n10577284	酒屋
n02084861	駄犬
n03967396	プロッター
n04224543	僚船
n10599806	歌歌い
n02939185	鍋
n02971167	ゴム輪
n03836976	ナイロンストッキング
n04057047	髪剃り
n02737660	腕
n07695965	サンドウィッチ
n14858292	芥
n02860640	ボビーピン
n01582856	カササギフエガラス
n10635788	スフィンクス
n02106662	シェパード
n05302499	口腔
n02812949	銃槍
n07852833	カメンベール
n04162706	シートベルト
n02101861	スプリンガースパニエル
n10153594	体操選手
n07832902	ドレッシング
n03366823	敷物
n03227317	ダブルニット
n04390977	飲み口
n07607605	吸盤
n03419014	御召し物
n07866015	コロッケ
n02299157	タバコスズメガ
n02715712	対空火砲
n04026180	パール編み
n03700963	単純機械
n04492375	トラス
n04289690	鎖車
n02010453	五位鷺
n10435988	投手
n07686720	サワーブレッド
n04251701	雪堤
n07817315	コリアンダー
n03706229	磁石盤
n07921239	トルココーヒー
n04398044	ティーポット
n12882779	ジギタリス
n10120671	植木屋
n07832416	ペスト・ジェノヴェーゼ
n07751004	桃
n03787523	竿継
n02981911	トレビュシェット
n07683490	チャパティー
n02865665	雄螺旋
n10317007	将校
n02403454	雌牛
n02439033	麒麟
n02008497	オオアオサギ
n04140064	鋸
n03071160	吹き抜け
n07763792	枇杷
n04582205	笊
n10308168	取締役
n02709101	アナスチグマート
n02453108	厚皮動物
n02865931	関の木
n02487547	赤毛猿
n12844939	コリウス
n07868955	ゲフィルテ・フィッシュ
n04131208	美粧院
n04235291	轌
n07817160	コンフリー
n03659292	レバー
n08494231	遊園地
n02051059	オビハシカイツブリ
n01594968	サンショクツバメ
n07600696	りんご飴
n03124043	カウボーイブーツ
n02932400	小屋
n04050066	熊手
n04507155	雨傘
n02088238	バセットハウンド
n12877838	キンギョソウ
n04495843	曳船
n02834778	銀輪
n04284341	スプーン
n07804771	真菰
n03313333	表付き
n03159535	酪農場
n02908217	毛払い
n09438844	スノーキャップ
n03350204	金魚鉢
n01754876	ガラガラヘビ
n01323355	父
n07579787	一皿
n01859496	コハクチョウ
n10078131	愛好家
n12633638	林檎
n04117464	舵
n06359193	ホームページ
n04568069	風見
n12991184	花苔
n07678729	調味料
n07753113	無花果状果
n02880546	擦弦楽器
n03335030	荒鷲
n04040373	星型エンジン
n03347617	火の見
n04095109	リッツ
n11939699	ヒナギク
n03483316	ヘアードライヤー
n04222470	シングルブレスト
n03791053	スクーター
n02190166	蝿
n07876550	スカンピ
n10283170	少佐
n04125257	貸し金庫
n02122298	子猫
n03408054	機体
n10081204	神父
n01542786	機織鳥
n02025043	キョウジョシギ
